Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
巴林,BHR,小学女生毕业率（相关年龄群体所占比例）,SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,79.98316193,77.25019836,78.87255096,79.34705353,80.21053314,84.56002045,90.7056427,98.49977875,,100.0875702,93.44841766,86.92015076,80.45485687,81.86306763,81.16671753,,83.97109985,87.26885986,87.45960236,88.74960327,92.49417114,92.53913116,97.32739258,97.15653992,,,,,,94.40569305,98.20407867,103.3828125,103.6981583,99.77892303,101.2823486,99.25115204,100.6074524,99.5079422,,,93.41542816,
巴哈马,BHS,小学女生毕业率（相关年龄群体所占比例）,SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.56427002,,,,,,92.9274826,85.78227234,89.40357208,87.7093277,87.05812073,79.50868988,87.86798096,84.23703766,76.04415131,77.33013153,,,,,,,,,
波斯尼亚和黑塞哥维那,BIH,小学女生毕业率（相关年龄群体所占比例）,SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.4389267,77.52809143,77.16560364,76.02825165,84.29618073,91.39723969,90.09181976,90.15966797,87.60030365,91.48117828,89.38321686,89.26759338,86.51412201,86.10199738
白俄罗斯,BLR,小学女生毕业率（相关年龄群体所占比例）,SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.1547699,91.55766296,90.19206238,86.73802948,90.2350235,,96.59622955,101.8705597,106.2275696,128.9508972,102.7117615,101.2712021,99.75019073,98.7065506,97.52049255,93.10449219,,,97.50743103,96.38391113,93.74417877,93.21077728,92.90505219,94.20340729,94.43546295,96.18945313,97.98148346,94.54467773,92.68389893,91.02303314,
伯利兹,BLZ,小学女生毕业率（相关年龄群体所占比例）,SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.04154968,,,92.59941101,98.53587341,,,96.18917847,96.49181366,103.4109497,,101.3992462,100.7031479,102.170639,99.91230774,105.8033218,98.34117126,102.4344635,97.6375885,103.9134903,109.4514618,103.2650909,102.8333817,105.0754776,105.9806671,102.4538269,104.1733475,103.0270309,105.125412,111.1523132,103.9843979,
百慕大,BMU,小学女生毕业率（相关年龄群体所占比例）,SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,,,86.02793884,,,,,,,,,,,,,,,,,,,,,,,,,,103.3942566,108.6075897,106.4267426,,,,,,,,97.93509674,91.76470947,111.0062866,,,,,,,,,,
玻利维亚,BOL,小学女生毕业率（相关年龄群体所占比例）,SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.81828308,97.7385025,98.74069977,95.99178314,91.86830139,89.00408936,89.74640656,90.79193878,93.56347656,90.85948944,92.42285919,,96.91931152,
巴西,BRA,小学女生毕业率（相关年龄群体所占比例）,SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,83.24783325,65.23973083,68.11290741,70.5118103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
巴巴多斯,BRB,小学女生毕业率（相关年龄群体所占比例）,SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.69638062,95.95404816,102.705307,101.0184326,107.1571579,99.52755737,99.78105927,97.4972229,97.01986694,97.98255157,98.48155975,97.37967682,97.10830688,,,,,,,88.61607361,84.51303864,97.32247162,101.801239,89.81012726,
文莱达鲁萨兰国,BRN,小学女生毕业率（相关年龄群体所占比例）,SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,99.89076996,99.41921997,107.5608521,90.81580353,104.7034836,102.1938782,109.1370621,103.3965988,93.3068924,101.7786636,85.28015137,94.36813354,60.90908813,,144.8634644,,,,,,,,,,,89.78912354,94.75994873,97.70491791,98.21917725,102.4033127,103.002243,107.6093063,105.0314484,105.8772888,105.0187531,105.0359726,104.5335693,104.0250397,107.1709976,108.8359985,103.6839981,104.5559998,97.61699677,100.2089996,103.9570007,102.3700027,102.7799988,95.63800049,100.3813171,,,
不丹,BTN,小学女生毕业率（相关年龄群体所占比例）,SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,,,,,,4.516129971,5.120820045,,,,,,,,,,,,,,21.0289402,25.83025932,,,,44.75891113,50.15317154,51.52413177,51.08547974,,,,,72.1827774,,84.38340759,88.64074707,98.9469986,99.0510025,107.060997,102.0493622,103.0716171,100.4120026,102.0382309,99.60600281,89.48400116,82.08100128,89.99500275,97.09600067,87.09100342,
博茨瓦纳,BWA,小学女生毕业率（相关年龄群体所占比例）,SE.PRM.CMPT.FE.ZS,,,,,,,,,,,44.67975998,51.72113037,59.29853821,,,,,,,79.3000412,,92.70970154,95.9628067,87.16977692,87.46154022,95.07705688,104.3218994,105.0143204,98.94425964,96.36676788,96.22131348,95.70710754,95.18991089,93.61029816,98.52947998,94.68612671,96.45821381,,93.62077332,90.90989685,90.19914246,93.4828186,94.52465057,95.13704681,95.16607666,95.54673767,97.5789032,92.88526917,95.38864899,97.63288879,,,98.46147156,97.11840057,,,,,,,,,,
中非共和国,CAF,小学女生毕业率（相关年龄群体所占比例）,SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,9.39964962,10.99991989,13.12539005,12.29129982,14.54498959,15.76270962,,16.60549927,,,16.48747063,16.47299004,14.78514957,,,27.76563072,20.9551506,22.11631966,20.53206062,19.8763504,20.11231041,15.54566002,,,,,,,,,,,,15.86814022,17.61548996,18.2165699,,23.4958992,25.98863983,26.52544975,28.67602921,30.33832932,,,,29.87652969,40.07600021,,,,,,
加拿大,CAN,小学女生毕业率（相关年龄群体所占比例）,SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.15072632,97.71604156,98.28395844,,,,,,,,,,,,,,,,,,,,,,,
